Combination,Delta E,EA(A),EN(A),H(A),IP(A),L(A),rd(A),rp(A),rs(A),EA(B),EN(B),H(B),IP(B),L(B),rd(B),rp(B),rs(B)
Li+F,-0.0594925,-0.698,3.0135,-2.874,-5.329,-0.978,6.93,1.995,1.652,-4.273,11.8385,-11.294,-19.404,1.251,1.428,0.371,0.406
Li+Cl,-0.038388,-0.698,3.0135,-2.874,-5.329,-0.978,6.93,1.995,1.652,-3.971,8.9365,-8.7,-13.902,0.574,1.666,0.756,0.679
Li+Br,-0.032847,-0.698,3.0135,-2.874,-5.329,-0.978,6.93,1.995,1.652,-3.739,8.1945,-8.001,-12.65,0.708,1.869,0.882,0.749
Li+I,-0.022172,-0.698,3.0135,-2.874,-5.329,-0.978,6.93,1.995,1.652,-3.513,7.385,-7.236,-11.257,0.213,1.722,1.071,0.896
Be+O,0.430056,0.631,4.414,-5.6,-9.459,-2.098,2.877,1.211,1.078,-3.006,9.7195,-9.197,-16.433,2.541,2.219,0.427,0.462
Be+S,0.5064495,0.631,4.414,-5.6,-9.459,-2.098,2.877,1.211,1.078,-2.845,7.32,-7.106,-11.795,0.642,2.366,0.847,0.742
Be+Se,0.49488,0.631,4.414,-5.6,-9.459,-2.098,2.877,1.211,1.078,-2.751,6.8485,-6.654,-10.946,1.316,2.177,0.952,0.798
Be+Te,0.466361,0.631,4.414,-5.6,-9.459,-2.098,2.877,1.211,1.078,-2.666,6.2665,-6.109,-9.867,0.099,1.827,1.141,0.945
B+N,1.712778,-0.107,4.1485,-3.715,-8.19,2.248,1.946,0.826,0.805,-1.867,7.726,-7.239,-13.585,3.057,1.54,0.511,0.539
B+P,1.0196875,-0.107,4.1485,-3.715,-8.19,2.248,1.946,0.826,0.805,-1.92,5.8355,-5.596,-9.751,0.183,1.771,0.966,0.826
B+As,0.8789035,-0.107,4.1485,-3.715,-8.19,2.248,1.946,0.826,0.805,-1.839,5.5505,-5.341,-9.262,0.064,2.023,1.043,0.847
C+C,2.6381375,-0.872,5.862,-5.416,-10.852,1.992,1.631,0.63,0.644,-0.872,5.862,-5.416,-10.852,1.992,1.631,0.63,0.644
Na+F,-0.1458045,-0.716,2.9695,-2.819,-5.223,-0.718,6.566,2.597,1.715,-4.273,11.8385,-11.294,-19.404,1.251,1.428,0.371,0.406
Na+Cl,-0.1330525,-0.716,2.9695,-2.819,-5.223,-0.718,6.566,2.597,1.715,-3.971,8.9365,-8.7,-13.902,0.574,1.666,0.756,0.679
Na+Br,-0.1266025,-0.716,2.9695,-2.819,-5.223,-0.718,6.566,2.597,1.715,-3.739,8.1945,-8.001,-12.65,0.708,1.869,0.882,0.749
Na+I,-0.115454,-0.716,2.9695,-2.819,-5.223,-0.718,6.566,2.597,1.715,-3.513,7.385,-7.236,-11.257,0.213,1.722,1.071,0.896
Mg+O,-0.177796,0.693,3.672,-4.782,-8.037,-1.358,3.171,1.897,1.33,-3.006,9.7195,-9.197,-16.433,2.541,2.219,0.427,0.462
Mg+S,-0.086812,0.693,3.672,-4.782,-8.037,-1.358,3.171,1.897,1.33,-2.845,7.32,-7.106,-11.795,0.642,2.366,0.847,0.742
